Date,Time,Battery Voltage(V),Battery Current(mA),Battery Power(W),Temperature(*C),Pressure(hPa),Humidity(%),Gas(kOhms),Altitude(m),PM > 0.3(Particles/0.1L),PM > 0.5(Particles/0.1L),PM > 1.0(Particles/0.1L),PM > 2.5(Particles/0.1L),PM > 5.0(Particles/0.1L),PM > 10.0(Particles/0.1L),PM1.0(ug/m3),PM2.5(ug/m3),PM10.0(ug/m3),AQI(PM2.5),AQI(PM10.0)
1/1/2000 Sat.,01:32:41,6.31,75.80,0.48,27.28,1001.89,18.22,2090.84,95.01,1095,228,37,3,0,0,3,5,7,20.83,6.48
1/1/2000 Sat.,01:32:41,6.30,78.30,0.49,27.29,1001.89,18.19,2117.37,94.68,1095,228,37,3,0,0,3,5,7,20.83,6.48
1/1/2000 Sat.,01:32:42,6.28,103.30,0.65,27.30,1001.91,18.17,2117.37,94.68,1095,228,37,3,0,0,3,5,7,20.83,6.48
1/1/2000 Sat.,01:32:43,6.33,87.60,0.55,27.27,1001.91,18.12,2112.34,94.84,1095,234,33,2,0,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:32:44,6.32,86.30,0.55,27.28,1001.91,18.10,2117.37,94.51,1095,234,33,2,0,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:32:45,6.28,107.00,0.67,27.30,1001.91,18.08,2134.29,94.51,1095,234,33,2,0,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:32:46,6.32,88.20,0.56,27.27,1001.91,18.05,2122.42,94.84,1152,250,37,1,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:47,6.31,86.70,0.55,27.28,1001.91,18.03,2122.42,94.51,1152,250,37,1,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:47,6.27,100.90,0.63,27.30,1001.91,18.01,2124.10,94.84,1152,250,37,1,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:48,6.31,85.30,0.54,27.27,1001.89,17.98,2120.73,94.84,1146,257,39,0,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:49,6.31,77.10,0.49,27.28,1001.91,17.96,2122.42,94.51,1146,257,39,0,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:50,6.27,99.10,0.62,27.30,1001.91,17.95,2130.89,94.51,1146,257,39,0,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:51,6.31,78.70,0.50,27.27,1001.91,17.92,2132.59,94.84,1137,262,45,1,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:52,6.30,82.20,0.52,27.28,1001.93,17.91,2142.86,94.51,1137,262,45,1,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:53,6.27,103.30,0.65,27.30,1001.91,17.89,2129.19,94.51,1137,262,45,1,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:54,6.31,78.20,0.49,27.27,1001.91,17.87,2119.05,94.84,1071,256,46,1,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:54,6.31,80.80,0.51,27.28,1001.91,17.87,2134.29,94.51,1071,256,46,1,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:55,6.27,102.30,0.64,27.30,1001.91,17.85,2127.49,94.51,1071,256,46,1,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:32:56,6.32,78.10,0.49,27.27,1001.89,17.83,2120.73,94.68,966,229,40,1,0,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:32:57,6.31,87.70,0.55,27.28,1001.93,17.81,2129.19,95.01,966,229,40,1,0,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:32:58,6.28,105.50,0.66,27.29,1001.93,17.81,2136.00,94.68,966,229,40,1,0,0,4,5,5,20.83,4.63
