Date,Time,Battery Voltage(V),Battery Current(mA),Battery Power(W),Temperature(*C),Pressure(hPa),Humidity(%),Gas(kOhms),Altitude(m),PM > 0.3(Particles/0.1L),PM > 0.5(Particles/0.1L),PM > 1.0(Particles/0.1L),PM > 2.5(Particles/0.1L),PM > 5.0(Particles/0.1L),PM > 10.0(Particles/0.1L),PM1.0(ug/m3),PM2.5(ug/m3),PM10.0(ug/m3),AQI(PM2.5),AQI(PM10.0)
1/1/2000 Sat.,00:00:48,6.43,86.70,0.56,26.57,1001.98,20.05,1188.78,94.26,996,233,44,8,3,1,4,7,9,29.17,8.33
1/1/2000 Sat.,00:00:49,6.43,86.80,0.56,26.58,1001.98,19.97,1212.53,94.26,975,222,36,9,4,2,4,6,9,25.00,8.33
1/1/2000 Sat.,00:00:50,6.39,101.10,0.65,26.69,1002.00,19.85,1233.83,94.42,975,222,36,9,4,2,4,6,9,25.00,8.33
1/1/2000 Sat.,00:00:51,6.44,92.20,0.59,26.80,1001.96,19.73,1246.50,94.09,975,222,36,9,4,2,4,6,9,25.00,8.33
1/1/2000 Sat.,00:00:52,6.43,83.90,0.54,26.88,1001.98,19.60,1263.01,94.42,939,207,38,9,4,2,3,6,9,25.00,8.33
1/1/2000 Sat.,00:00:52,6.43,81.70,0.53,26.93,1001.96,19.44,1277.51,94.42,939,207,38,9,4,2,3,6,9,25.00,8.33
1/1/2000 Sat.,00:00:53,6.39,100.90,0.64,26.97,1001.96,19.31,1294.86,94.51,939,207,38,9,4,2,3,6,9,25.00,8.33
1/1/2000 Sat.,00:00:54,6.43,93.30,0.60,26.90,1001.96,19.13,1304.98,94.68,954,206,36,10,5,2,3,6,11,25.00,10.19
1/1/2000 Sat.,00:00:55,6.44,83.80,0.54,26.86,1001.93,18.98,1319.17,94.51,954,206,36,10,5,2,3,6,11,25.00,10.19
1/1/2000 Sat.,00:00:56,6.39,99.60,0.64,26.83,1001.95,18.96,1335.00,94.51,954,206,36,10,5,2,3,6,11,25.00,10.19
1/1/2000 Sat.,00:00:57,6.43,91.20,0.59,26.78,1001.89,18.83,1347.12,94.84,999,215,38,13,6,2,3,6,12,25.00,11.11
1/1/2000 Sat.,00:00:58,6.44,85.60,0.55,26.76,1001.91,18.73,1355.33,94.84,999,215,38,13,6,2,3,6,12,25.00,11.11
1/1/2000 Sat.,00:00:59,6.39,108.80,0.70,26.76,1001.89,18.57,1380.56,95.01,999,215,38,13,6,2,3,6,12,25.00,11.11
1/1/2000 Sat.,00:01:00,6.44,91.50,0.59,26.73,1001.87,18.46,1383.42,95.01,981,215,30,8,3,1,3,6,8,25.00,7.41
1/1/2000 Sat.,00:01:00,6.42,89.70,0.58,26.72,1001.87,18.38,1392.07,95.35,981,215,30,8,3,1,3,6,8,25.00,7.41
1/1/2000 Sat.,00:01:01,6.40,106.30,0.68,26.73,1001.83,18.30,1402.31,95.52,981,215,30,8,3,1,3,6,8,25.00,7.41
1/1/2000 Sat.,00:01:02,6.42,83.30,0.54,26.71,1001.85,18.21,1417.20,95.35,1053,230,32,9,3,1,4,7,9,29.17,8.33
1/1/2000 Sat.,00:01:03,6.44,93.40,0.60,26.72,1001.83,18.16,1423.24,95.68,1053,230,32,9,3,1,4,7,9,29.17,8.33
1/1/2000 Sat.,00:01:04,6.41,111.30,0.71,26.73,1001.81,18.09,1433.94,95.85,1053,230,32,9,3,1,4,7,9,29.17,8.33
1/1/2000 Sat.,00:01:05,6.42,92.60,0.59,26.70,1001.85,18.01,1446.37,95.35,1092,239,45,11,3,1,4,8,11,33.33,10.19
1/1/2000 Sat.,00:01:06,6.42,90.70,0.58,26.71,1001.87,17.97,1459.02,95.35,1092,239,45,11,3,1,4,8,11,33.33,10.19
1/1/2000 Sat.,00:01:07,6.39,105.40,0.67,26.72,1001.87,17.91,1463.82,95.52,1092,239,45,11,3,1,4,8,11,33.33,10.19
1/1/2000 Sat.,00:01:08,6.39,109.80,0.70,26.69,1001.85,17.85,1470.26,95.35,1092,241,43,11,3,1,4,8,11,33.33,10.19
1/1/2000 Sat.,00:01:09,6.40,112.50,0.72,26.66,1001.85,17.79,1478.41,94.84,1014,224,41,12,3,1,3,7,10,29.17,9.26
1/1/2000 Sat.,00:01:10,6.39,106.70,0.68,26.66,1001.95,17.77,1486.64,94.68,1008,224,45,13,3,1,3,7,10,29.17,9.26
1/1/2000 Sat.,00:01:10,6.38,101.70,0.65,26.68,1001.95,17.78,1476.77,94.42,1200,248,54,13,2,0,4,8,10,33.33,9.26
1/1/2000 Sat.,00:01:11,6.38,104.70,0.67,26.71,1001.96,18.05,1462.21,94.51,1221,261,63,14,2,0,4,9,12,37.50,11.11
1/1/2000 Sat.,00:01:12,6.38,112.00,0.71,26.71,1001.96,18.41,1460.61,94.42,1218,257,71,16,1,0,4,9,13,37.50,12.04
1/1/2000 Sat.,00:01:13,6.40,110.70,0.71,26.71,1001.98,18.69,1468.65,94.26,1212,262,69,16,0,0,4,9,12,37.50,11.11
1/1/2000 Sat.,00:01:14,6.39,111.30,0.71,26.70,1002.00,18.82,1480.04,94.09,1179,255,75,17,0,0,4,9,13,37.50,12.04
1/1/2000 Sat.,00:01:15,6.38,101.40,0.65,26.70,1002.02,18.90,1494.96,93.92,1140,227,71,17,0,0,3,8,12,33.33,11.11
1/1/2000 Sat.,00:01:16,6.39,110.90,0.71,26.70,1002.02,18.93,1501.69,93.92,1233,247,63,13,0,0,4,7,12,29.17,11.11
1/1/2000 Sat.,00:01:17,6.38,104.00,0.66,26.71,1002.02,18.96,1491.62,93.92,1233,242,67,16,1,0,3,7,13,29.17,12.04
1/1/2000 Sat.,00:01:18,6.39,112.10,0.72,26.71,1002.04,19.08,1494.96,93.75,1311,259,71,16,1,0,4,8,13,33.33,12.04
1/1/2000 Sat.,00:01:19,6.42,93.50,0.60,26.71,1002.06,19.20,1494.96,93.42,1311,263,71,16,1,0,4,8,13,33.33,12.04
1/1/2000 Sat.,00:01:19,6.41,86.40,0.55,26.76,1002.06,19.24,1508.47,93.75,1311,263,71,16,1,0,4,8,13,33.33,12.04
1/1/2000 Sat.,00:01:20,6.38,112.10,0.72,26.81,1002.04,19.33,1508.47,93.75,1311,263,71,16,1,0,4,8,13,33.33,12.04
1/1/2000 Sat.,00:01:21,6.42,92.90,0.60,26.81,1002.02,19.40,1507.62,93.75,1131,241,64,15,1,0,3,8,13,33.33,12.04
1/1/2000 Sat.,00:01:22,6.43,93.10,0.60,26.84,1002.06,19.47,1511.89,93.75,1131,241,64,15,1,0,3,8,13,33.33,12.04
1/1/2000 Sat.,00:01:23,6.38,103.50,0.66,26.88,1002.04,19.59,1505.07,93.58,1131,241,64,15,1,0,3,8,13,33.33,12.04
1/1/2000 Sat.,00:01:24,6.42,93.30,0.60,26.86,1002.06,19.78,1505.07,93.42,1158,254,53,14,1,0,4,8,12,33.33,11.11
1/1/2000 Sat.,00:01:25,6.41,92.30,0.59,26.89,1002.08,20.03,1481.69,93.25,1158,254,53,14,1,0,4,8,12,33.33,11.11
